Check,checkingpeer,State,time
1,matinish,Start,04:20:00
1,matinish,Success,04:50:00
2,gconn,Start,16:20:00
2,gconn,Success,16:50:00
3,matinish,Start,19:00:00
3,matinish,Success,19:30:00
4,tcocoa,Start,21:00:00
4,tcocoa,Failure,21:10:00
5,cflossie,Start,17:30:00
5,cflossie,Failure,17:31:00
6,torell,Start,06:20:00
6,torell,Success,06:50:00
7,tcocoa,Start,10:20:00
7,tcocoa,Success,10:50:00
8,acandela,Start,03:20:00
8,acandela,Success,03:50:00
9,hspeaker,Start,05:20:00
9,hspeaker,Success,05:50:00
10,aedie,Start,08:20:00
10,aedie,Success,08:50:00
11,acandela,Start,19:20:00
11,acandela,Success,19:50:00
12,acandela,Start,18:20:00
12,acandela,Success,18:50:00
13,aedie,Start,15:20:00
13,aedie,Success,15:50:00
14,cflossie,Start,16:20:00
14,cflossie,Failure,16:50:00
15,matinish,Start,21:20:00
15,matinish,Success,21:50:00
16,acandela,Start,22:20:00
16,acandela,Failure,22:50:00
17,hspeaker,Start,22:50:00
17,hspeaker,Success,23:20:00
18,sblushin,Start,10:50:00
18,sblushin,Success,11:20:00
