peer,task,date
cflossie,C2_String+,2021-10-01
cflossie,C3_SimpleBashUtils,2021-11-01
gconn,C2_String+,2021-12-01
matinish,C4_s21_Math,2021-12-02
torell,C2_String+,2021-12-03
cflossie,C4_s21_Math,2021-12-04
cflossie,C5_s21_decimal,2022-01-04
cflossie,C6_s21_matrix,2022-01-14
cflossie,C7_SmartCalculator,2022-01-31
cflossie,C8_3D_Viewer_v1.0,2022-02-10
cflossie,CPP_s21_matrix+,2022-02-20
cflossie,CPP_SmartCalculator_v2.0,2022-02-28
tcocoa,C2_String+,2021-02-25
torell,C3_SimpleBashUtils,2021-08-01
gconn,C3_SimpleBashUtils,2021-12-10
gconn,C4_s21_Math,2021-12-20
tcocoa,C3_SimpleBashUtils,2021-12-20
kcresswe,C2_String+,2021-12-20
