Check,State,time
1,Start,04:51:00
1,Success,04:52:00
2,Start,16:51:00
2,Success,16:52:00
3,Start,19:31:00
3,Success,19:32:00
6,Start,06:51:00
6,Failure,06:52:00
7,Start,10:51:00
7,Success,10:52:00
8,Start,03:51:00
8,Success,03:52:00
9,Start,05:51:00
9,Success,05:52:00
10,Start,08:51:00
10,Success,08:52:00
11,Start,19:51:00
11,Success,19:52:00
12,Start,18:51:00
12,Success,18:52:00
13,Start,15:51:00
13,Success,15:52:00
15,Start,21:51:00
15,Success,21:52:00
17,Start,23:21:00
17,Success,23:22:00
18,Start,11:21:00
18,Success,11:22:00
